Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
scuba,Collections,scuba,905345,7.99%,"$8,433,488.09"
shorts,Category,shorts,572888,4.54%,"$2,093,359.94"
define,Collections,define jacket,462670,6.62%,"$3,566,816.44"
align,Collections,align,417267,11.58%,"$4,948,056.73"
leggings,Category,leggings,351252,6.79%,"$2,511,427.32"
swiftly,Collections,swiftly,296633,7.08%,"$1,591,910.14"
everywhere,Collections,everywhere belt bag,207788,14.09%,"$1,438,011.22"
align,Collections,align tank,225922,8.54%,"$1,190,313.39"
align,Collections,align leggings,174881,11.05%,"$2,091,488.85"
leggings,Category,align leggings,174881,11.05%,"$2,091,488.85"
swiftly,Collections,swiftly tech,176779,8.63%,"$1,156,425.87"
we made too much,Category,we made too much,119687,7.25%,"$592,076.05"
hotty hot,Collections,hotty hot,155874,7.90%,"$910,585.98"
define,Collections,define,168830,8.18%,"$1,551,166.64"
bags,Category,bags,124248,10.51%,"$828,463.01"
speed up,Collections,speed up,97005,6.75%,"$464,907.25"
align,Collections,align shorts,84762,8.18%,"$481,719.46"
shorts,Category,align shorts,84762,8.18%,"$481,719.46"
tank tops,Category,tank tops,79056,5.04%,"$281,269.70"
shirts,Category,shirts,89858,3.44%,"$244,266.38"
backpacks,Attribute,backpacks,76478,9.31%,"$695,347.15"
joggers,Category,joggers,86410,9.21%,"$878,731.03"
skirts,Category,skirts,62987,5.10%,"$281,608.62"
shorts,Category,hotty hotty shorts,75751,9.78%,"$551,988.95"
dance,Activity,dance studio,99429,11.10%,"$1,220,866.85"
dance studio,Collections,dance studio,99429,11.10%,"$1,220,866.85"
pants,Category,pants,72508,4.86%,"$453,982.67"
sonic pink,Color name,sonic pink,61445,6.59%,"$321,732.17"
pink,Color Family,sonic pink,61445,6.59%,"$321,732.17"
swiftly,Collections,swiftly top,58593,6.22%,"$282,759.90"
swiftly,Collections,swiftly tech shirts,62483,7.89%,"$381,891.50"
shirts,Category,swiftly tech shirts,62483,7.89%,"$381,891.50"
wunder train,Collections,wunder train,66933,11.95%,"$727,199.74"
lip gloss,Color name,lip gloss,43543,5.84%,"$204,722.58"
shorts,Category,biker shorts,51024,4.34%,"$146,760.05"
black,Color name,black leggings,54696,6.54%,"$358,375.82"
leggings,Category,black leggings,54696,6.54%,"$358,375.82"
shorts,Category,shorts hotty hot,50362,6.36%,"$248,956.35"
hotty hot,Collections,shorts hotty hot,50362,6.36%,"$248,956.35"
short,Length,women's short,44354,6.34%,"$235,963.60"
align,Collections,align short,55078,11.33%,"$427,484.11"
short,Length,align short,55078,11.33%,"$427,484.11"
yoga,Activity,yoga mat,51681,18.26%,"$752,329.75"
ebb to street,Collections,ebb to street tank,57290,11.09%,"$437,690.85"
poolside,Color name,poolside,34923,4.11%,"$108,486.35"
scuba,Collections,scuba hoodie,86244,15.20%,"$1,534,340.17"
shoes,Category,shoes,54503,8.88%,"$447,393.44"
align,Collections,align dress,56863,5.34%,"$439,280.73"
align,Collections,lululemon align leggings,82952,20.05%,"$1,796,477.65"
leggings,Category,lululemon align leggings,82952,20.05%,"$1,796,477.65"
tennis,Activity,tennis,39094,7.79%,"$291,794.89"
align,Collections,align bra,47408,9.18%,"$244,170.82"
all yours,Collections,all yours,48091,9.57%,"$297,365.13"
pink,Color Family,pink,50951,4.92%,"$230,496.45"
align,Collections,align top,46025,6.43%,"$190,555.25"
shorts,Category,Men’s shorts,37784,6.78%,"$234,366.58"
green,Color Family,kelly green,32558,6.97%,"$176,624.45"
everywhere,Collections,everywhere crossbody bag,39908,11.73%,"$247,984.25"
swiftly,Collections,swiftly shirt,53547,11.21%,"$469,522.85"
tennis,Activity,tennis skirt,36554,9.48%,"$290,504.58"
java,Color name,java,32942,6.83%,"$195,831.64"
espresso,Color name,espresso,57850,10.34%,"$578,699.25"
bone,Color name,bone,39693,9.02%,"$347,961.27"
dance,Activity,dance studio pants,44796,6.81%,"$377,207.60"
dance studio,Collections,dance studio pants,44796,6.81%,"$377,207.60"
pants,Category,dance studio pants,44796,6.81%,"$377,207.60"
flush pink,Color name,flush pink,30303,6.00%,"$149,933.25"
pink,Color Family,flush pink,30303,6.00%,"$149,933.25"
bike,Activity,bike short,29690,4.94%,"$99,422.55"
short,Length,bike short,29690,4.94%,"$99,422.55"
speed up,Collections,speed up shorts,38082,7.87%,"$207,414.90"
shorts,Category,speed up shorts,38082,7.87%,"$207,414.90"
scuba,Collections,scuba half zip,48439,9.09%,"$511,283.90"
socks,Category,socks,57110,21.68%,"$503,462.16"
golf,Activity,golf,30687,8.19%,"$272,914.11"
short,Length,short,32397,4.75%,"$121,176.38"
leggings,Category,camo leggings,32376,6.75%,"$226,251.75"
dark lavender,Color name,dark lavender,27936,7.09%,"$157,495.20"
long,Length,long sleeve,47228,8.15%,"$319,056.00"
energy,Collections,energy bra,39600,14.09%,"$327,343.17"
leggings,Category,flare leggings,35271,5.62%,"$225,701.50"
love,Collections,love,37957,14.82%,"$357,421.81"
hotty hot,Collections,hotty hot shorts,31182,6.13%,"$140,462.15"
shorts,Category,hotty hot shorts,31182,6.13%,"$140,462.15"
shorts,Category,Women’s shorts,23067,5.41%,"$103,045.15"
swiftly,Collections,swiftly tech short sleeve,32160,12.46%,"$297,065.15"
short,Length,swiftly tech short sleeve,32160,12.46%,"$297,065.15"
tennis,Activity,tennis skirts,26046,10.84%,"$243,105.46"
skirts,Category,tennis skirts,26046,10.84%,"$243,105.46"
slides,Attribute,slides,43549,16.79%,"$454,080.87"
ebb to street,Collections,ebb to street,33184,7.67%,"$172,086.19"
sculpt,Collections,sculpt tank,26024,12.69%,"$199,160.60"
utility blue,Color name,utility blue,22307,6.80%,"$120,983.45"
blue,Color Family,utility blue,22307,6.80%,"$120,983.45"
belt bags,Attribute,belt bags,32806,11.42%,"$193,657.40"
bags,Category,belt bags,32806,11.42%,"$193,657.40"
like a cloud,Collections,like a cloud,35882,14.83%,"$352,502.72"
love,Collections,love tank,31421,16.59%,"$258,188.77"
dance,Activity,studio dance pants,26341,5.14%,"$166,436.50"
pants,Category,studio dance pants,26341,5.14%,"$166,436.50"
tennis,Activity,tennis dress,22097,8.53%,"$167,545.85"
underwear,Category,underwear,32514,21.69%,"$487,344.29"
velvet dust,Color name,velvet dust,18088,7.50%,"$95,608.35"
pants,Category,softstreme pants,24385,5.00%,"$153,212.90"
hats,Category,hats,23305,15.92%,"$155,881.66"
align,Collections,align tank tops,26971,10.71%,"$186,260.17"
tank tops,Category,align tank tops,26971,10.71%,"$186,260.17"
swiftly,Collections,swiftly tank,28229,10.78%,"$185,145.92"
dresses,Category,dresses,17934,6.43%,"$135,557.93"
hotty hot,Collections,hotty hot 2.5,24242,9.43%,"$179,041.37"
dance,Activity,dance,31775,10.39%,"$380,561.76"
hiking,Activity,hiking,16690,6.30%,"$103,794.26"
groove,Collections,groove,31504,12.45%,"$401,704.40"
swim,Activity,swim,17901,6.92%,"$99,524.07"
speed up,Collections,2.5 speed up,21665,6.21%,"$101,580.05"
align,Collections,align 25,27112,12.83%,"$360,163.25"
25,Size,align 25,27112,12.83%,"$360,163.25"
we made too much,Category,women's we made too much,13131,2.82%,"$24,827.85"
lilac smoke,Color name,lilac smoke,21133,7.63%,"$123,063.65"
shorts,Category,mens shorts,25775,17.02%,"$382,935.65"
wild indigo,Color name,wild indigo,15477,4.79%,"$51,335.25"
dark forest,Color name,dark forest,27273,9.37%,"$245,917.65"
short,Length,fast free short,23208,6.85%,"$126,023.10"
