Gender,Category,Size,Length,Collections,Color name,Color Family,Inseam,Activity,Attribute
men,Joggers,S,Short,Steady State,Sonic Pink,navy,"30""",On the Move,Skorts
women,Sweatpants,6,Cropped,Dance Studio,Espresso,brown,"25""",yoga,Base Layers
,Short Sleeve Shirts,M,Maxi,Fundamental,Lip Gloss,blue,"15""",workout,5 Pocket Pants
,Skirts,XL,Mini,Align,Bone,black,"28""",travel,No Show Socks
,Leggings,8,Long,License To Train,Poolside,grey,"27""",tennis,Hoodies
,Tights,0,Midi,ABC,Java,orange,"32""",work,Slides
,Pants,20,,Love,Flush Pink,purple,"23""",golf,Backpacks
,Long Sleeve Shirts,L,,Everywhere,Dark Lavender,Printed,"31""",casual,Caps
,Bags,46,,Like a Cloud,Strawberry Milkshake,white,"14""",training,Chino Shorts
,Socks,44,,Wunder Train,Dark Forest,Khaki,"13""",dance,Ankle Socks
,Sports Bras,14,,Groove,Meadowsweet Pink,yellow,"4""",running,Crew Socks
,T-Shirts,XS,,Perfectly Oversized,Utility Blue,pink,"26""",hiking,Half Zip Sweatshirts
,Capris,ONE SIZE,,Energy,Lilac Smoke,green,"37""",swim,Bucket Hats
,Hoodies & Sweatshirts,12,,Restfeel,Storm Teal,red,"29""",bike,Cargo Pants
,Button Down Shirts,10,,All Yours,Velvet Dust,olive,"2.5""",,Beanies
,Shoes,4,,Wundermost,Pitch Blue,neutral,"9""",,Wallets and Pouches
,Water Bottles,18,,lululemon Lab,Nomad,Neon,"6""",,Athletic Shorts
,Tank Tops,2,,Speed Up,Mango Dream,Brun,"34""",,Mat Straps
,Shorts,XXL,,Define,Cyan Blue,bleu,"8""",,Knee High Socks
,Hats,XXXL,,Strongfeel,Atomic Purple,rouge,"7""",,Sweat Shorts
,Coats & Jackets,16,,Surge,Wild Indigo,rose,"3""",,Athletic Jackets
,Accessories,38DD,,Scuba,Twilight Rose,gris,"5""",,Duffle Bags
,Trousers,38D,,Fast & Free,Pink Peony,noir,"16""",,Yoga Bags
,Underwear,7,,Wunder Puff,True Navy,bleu marine,"21""",,Foam Rollers
,Jumpsuits & Rompers,13,,Hold Tight,Pistachio,violet,"3.5""",,Resistance Bands
,Yoga Accessories,38C,,Wunder Under,Medium Forest,blanc,"12""",,Crossbody Bags
,Gloves & Mittens,11,,Beyondfeel,Purple Ash,vert,"22""",,Keychains
,Yoga Mats,40C,,Sculpt,Dramatic Magenta,vert olive,"24""",,Athletic Skirts
,Scarves & Wraps,9,,Pace Breaker,Kohlrabi Green,Fluo,"18""",,Hijabs
,Shirts,28,,Bowline,Powder Blue,jaune,"7.5""",,Pullover Sweaters
,Dresses,40D,,Metal Vent Tech,Hot Heat,multicolore,"10""",,Onesies
,Swim Trunks,32,,Commission,Tidal Teal,Camouflage,"19""",,Crewneck Sweatshirts
,We Made Too Much,33,,T.H.E.,Solar Orange,métallique,"17""",,Board Shorts
,Bodysuits,31,,Built To Move,Aero Blue,null,"2""",,Dress Pants
,Hair Accessories,30,,5 Year Basic,Pipe Dream Blue,Or,"33""",,Chinos
,Polo Shirts,42,,Swiftly,Dark Red,noir et blanc,,,Totes
,Sweaters,36,,Ebb to Street,White,bourgogne,,,Towels
,lululemon membership,35,,City Sweat,Sunny Coral,neutre,,,Sneakers
,Swimsuits,40,,Base Pace,Summer Glow,argent,,,Belt Bags
,women,34,,Cool Racerback,Red Merlot,,,,Scarves
,,4XL,,Always In Motion,Hawaiian Blue,,,,Vests
,,38,,Soft Jersey,Dark Oxide,,,,Headbands
,,29,,At Ease,Deep Luxe,,,,Shampoo
,,5XL,,Cityverse,Black,,,,Sunscreen
,,L/XL,,Engineered Warmth,Dahlia Mauve,,,,Hair Clips
,,9.5,,On The Fly,White Opal,,,,Rain Jackets
,,S/M,,Zeroed In,Pomegranate,,,,Puffer Jackets
,,XXS,,Hotty Hot,Electric Lemon,,,,Windbreakers
,,1X,,Blissfeel,Contour,,,,Blocks
,,8.5,,Power Pivot,Grape Thistle,,,,Bomber Jackets
,,M/L,,InStill,Green Jasper,,,,Visors
,,XS/S,,Drysense,Electric Turquoise,,,,Packing Cubes
,,XL/XXL,,Swift Speed,Rhino Grey,,,,Hair Ties
,,34 B,,Invigorate,Graphite Grey,,,,Sliders
,,34 DDD,,Free to Be,Pastel Blue,,,,Leg Warmers
,,34 C,,Ready to Rulu,Cayenne,,,,Thongs
,,34 D,,Everywhere::::Wunder Puff,Maldives Green,,,,Bikini Underwear
,,34 DD,,Chargefeel,Riverstone,,,,Zip Up Sweatshirts
,,32 D,,Run Times,Trench,,,,Boy Shorts
,,32 DD,,Enlite,Grey Sage,,,,Bodycon Dresses
,,32 C,,In Movement,Glaze Pink,,,,Bralettes
,,32 G,,Bend This,Belgian Blue,,,,Racerback Bras
,,32 DDD,,Loungeful,Dark Olive,,,,Cardigans
,,32 B,,,Army Green,,,,Jump Ropes
,,6.5,,,Moonlit Magenta,,,,Turtlenecks
,,7.5,,,Highlight Yellow,,,,Shirt Dresses
,,34 G,,,Larkspur,,,,Scrunchies
,,36 B,,,Vintage Rose,,,,Cargo Shorts
,,5.5,,,Psychic,,,,Cross Training Shoes
,,5,,,Blue Linen,,,,Rompers
,,10.5,,,Mint Moment,,,,Lotion
,,11.5,,,Carnation Red,,,,Cheeky Underwear
,,38 C,,,Windmill,,,,Swimsuit Bottoms
,,40 D,,,Faded Zap,,,,One Piece Swimsuits
,,38 D,,,Iron Blue,,,,Swimsuit Tops
,,38 DD,,,Washed Mauve,,,,Trail Running Shoes
,,40 C,,,Washed Purple Quartz,,,,Parkas
,,36 C,,,Oasis Blue,,,,
,,36 D,,,Roasted Brown,,,,
,,36 DDD,,,French Press,,,,
,,36 DD,,,Lilac Ether,,,,
,,32B,,,Mojave Tan,,,,
,,32DDD,,,shocking blue,,,,
,,32DD,,,Dusty Clay,,,,
,,32D,,,Sheer Blue,,,,
,,32C,,,Sheer Lilac,,,,
,,34C,,,Icing Blue,,,,
,,34B,,,Water Drop,,,,
,,32G,,,Charged Indigo,,,,
,,34G,,,Symphony Blue,,,,
,,34DDD,,,Bronze Green,,,,
,,34DD,,,Magenta Purple,,,,
,,34D,,,Palm Court,,,,
,,36D,,,Cascadia Green,,,,
,,36C,,,Coral Kiss,,,,
,,36B,,,Allspice,,,,
,,36DDD,,,Smoked Spruce,,,,
,,36DD,,,Tidewater Teal,,,,
,,38 B,,,Blue Nile,,,,
,,27,,,Diamond Dye Pitch Grey Graphite Grey,,,,
,,26,,,Carbon Dust,,,,
,,48,,,Mulled Wine,,,,
,,Travel,,,Brier Rose,,,,
,,Full,,,Night Sea,,,,
,,37,,,Elixir,,,,
,,39,,,Pale Raspberry,,,,
,,2XL,,,Laurel Green,,,,
,,12.5,,,Utility Yellow,,,,
,,XXXS,,,Blazer Blue Tone,,,,
,,13.5,,,Raw Linen,,,,
,,24,,,Everglade Green,,,,
,,25,,,Raspberry Cream,,,,
,,50,,,Rip Tide,,,,
,,36 E,,,Sable,,,,
