Gender,Category,Size,Length,Collections,Color name,Color Family,Inseam,Activity
men,Joggers,S,Short,Steady State,Sonic Pink,navy,"30""",On the Move
women,Sweatpants,6,Cropped,Dance Studio,Espresso,brown,"25""",yoga
,Short Sleeve Shirts,M,Maxi,Fundamental,Lip Gloss,blue,"15""",workout
,Skirts,XL,Mini,Align,Bone,black,"28""",travel
,Leggings,8,Long,License To Train,Poolside,grey,"27""",tennis
,Tights,0,Midi,ABC,Java,orange,"32""",work
,Pants,20,,Love,Flush Pink,purple,"23""",golf
,Long Sleeve Shirts,L,,Everywhere,Dark Lavender,Printed,"31""",casual
,Bags,46,,Like a Cloud,Strawberry Milkshake,white,"14""",training
,Socks,44,,Wunder Train,Dark Forest,Khaki,"13""",dance
,Sports Bras,14,,Groove,Meadowsweet Pink,yellow,"4""",running
,T-Shirts,XS,,Perfectly Oversized,Utility Blue,pink,"26""",hiking
,Capris,ONE SIZE,,Energy,Lilac Smoke,green,"37""",swim
,Hoodies & Sweatshirts,12,,Restfeel,Storm Teal,red,"29""",bike
,Button Down Shirts,10,,All Yours,Velvet Dust,olive,"2.5""",
,Shoes,4,,Wundermost,Pitch Blue,neutral,"9""",
,Water Bottles,18,,lululemon Lab,Nomad,Neon,"6""",
,Tank Tops,2,,Speed Up,Mango Dream,Brun,"34""",
,Shorts,XXL,,Define,Cyan Blue,bleu,"8""",
,Hats,XXXL,,Strongfeel,Atomic Purple,rouge,"7""",
,Coats & Jackets,16,,Surge,Wild Indigo,rose,"3""",
,Accessories,38DD,,Scuba,Twilight Rose,gris,"5""",
,Trousers,38D,,Fast & Free,Pink Peony,noir,"16""",
,Underwear,7,,Wunder Puff,True Navy,bleu marine,"21""",
,Jumpsuits & Rompers,13,,Hold Tight,Pistachio,violet,"3.5""",
,Yoga Accessories,38C,,Wunder Under,Medium Forest,blanc,"12""",
,Gloves & Mittens,11,,Beyondfeel,Purple Ash,vert,"22""",
,Yoga Mats,40C,,Sculpt,Dramatic Magenta,vert olive,"24""",
,Scarves & Wraps,9,,Pace Breaker,Kohlrabi Green,Fluo,"18""",
,Shirts,28,,Bowline,Powder Blue,jaune,"7.5""",
,Dresses,40D,,Metal Vent Tech,Hot Heat,multicolore,"10""",
,Swim Trunks,32,,Commission,Tidal Teal,Camouflage,"19""",
,We Made Too Much,33,,T.H.E.,Solar Orange,métallique,"17""",
